source_sheet,source,journal.pub.year,impact_factor,citable_items,avg_citable_2yr
2018,Environment,2018,3.176,13,17
2019,Environment,2019,2.281,15,15.5
2020,Environment,2020,4.103,22,14
2021,Environment,2021,4.108,12,18.5
2022,Environment,2022,3.5,14,17
2023,Environment,2023,5,13,13
2024,Environment,2024,3.9,21,13.5
2008,Environmental impact assessment review,2008,1.205,44,41.5
2009,Environmental impact assessment review,2009,1.659,45,42.5
2010,Environmental impact assessment review,2010,1.944,44,44.5
2011,Environmental impact assessment review,2011,2.596,70,44.5
2012,Environmental impact assessment review,2012,1.851,60,57
2013,Environmental impact assessment review,2013,2.046,70,65
2014,Environmental impact assessment review,2014,2.4,45,65
2015,Environmental impact assessment review,2015,2.922,72,57.5
2016,Environmental impact assessment review,2016,3.094,76,58.5
2017,Environmental impact assessment review,2017,3.054,99,74
2018,Environmental impact assessment review,2018,3.749,79,87.5
2019,Environmental impact assessment review,2019,4.135,74,89
2020,Environmental impact assessment review,2020,4.549,106,76.5
2009,Earth interactions,2009,1.444,13,18
2010,Earth interactions,2010,1,20,13.5
2011,Earth interactions,2011,1.794,34,16.5
2012,Earth interactions,2012,1.709,18,27
2013,Earth interactions,2013,1.404,27,26
2014,Earth interactions,2014,1.844,20,22.5
2015,Earth interactions,2015,1.319,19,23.5
2016,Earth interactions,2016,1.615,24,19.5
2017,Earth interactions,2017,1.884,11,21.5
2018,Earth interactions,2018,2.457,19,17.5
2019,Earth interactions,2019,2.167,7,15
2020,Earth interactions,2020,2.769,6,13
2021,Earth interactions,2021,2,13,6.5
2022,Earth interactions,2022,2,17,9.5
2023,Earth interactions,2023,1.6,14,15
2024,Earth interactions,2024,1.1,6,15.5
2023,Environmental impact assessment review,2023,9.8,314,212
2024,Environmental impact assessment review,2024,11.2,327,274
2022,Etudes inuit studies,2022,NA,0,0
2023,Etudes inuit studies,2023,NA,0,0
2024,Etudes inuit studies,2024,NA,0,0
2005,Geoarchaeology-an international journal,2005,0.357,42,35
2006,Geoarchaeology-an international journal,2006,0.533,39,37.5
2007,Geoarchaeology-an international journal,2007,0.716,38,40.5
2008,Geoarchaeology-an international journal,2008,0.766,36,38.5
2009,Geoarchaeology-an international journal,2009,1.176,34,37
2010,Geoarchaeology-an international journal,2010,0.886,35,35
2011,Geoarchaeology-an international journal,2011,0.87,34,34.5
2012,Geoarchaeology-an international journal,2012,1.029,30,34.5
2013,Geoarchaeology-an international journal,2013,1.672,31,32
2014,Geoarchaeology-an international journal,2014,1.77,30,30.5
2015,Geoarchaeology-an international journal,2015,1.344,29,30.5
2016,Geoarchaeology-an international journal,2016,1.763,35,29.5
2017,Geoarchaeology-an international journal,2017,1.453,41,32
2018,Geoarchaeology-an international journal,2018,1.882,44,38
2019,Geoarchaeology-an international journal,2019,1.906,49,42.5
2020,Geoarchaeology-an international journal,2020,1.882,72,46.5
2021,Geoarchaeology-an international journal,2021,1.664,56,60.5
2022,Geoarchaeology-an international journal,2022,1.7,45,64
2023,Geoarchaeology-an international journal,2023,1.4,33,50.5
2024,Geoarchaeology-an international journal,2024,1.4,22,39
2022,Global crime,2022,2.2,23,14.5
2023,Global crime,2023,1.4,12,17
2024,Global crime,2024,1.9,13,17.5
2019,Global ecology and conservation,2019,2.526,280,116
2020,Global ecology and conservation,2020,3.38,584,213
2021,Global ecology and conservation,2021,3.97,546,432
2022,Global ecology and conservation,2022,4,382,565
2023,Global ecology and conservation,2023,3.5,416,464
2024,Global ecology and conservation,2024,3.4,560,399
1999,Human organization,1999,0.442,45,52
2000,Human organization,2000,0.592,41,49
2001,Human organization,2001,0.895,39,43
2002,Human organization,2002,0.5,35,40
2003,Human organization,2003,0.527,32,37
2004,Human organization,2004,0.701,40,33.5
2005,Human organization,2005,0.597,32,36
2006,Human organization,2006,1.167,36,36
2007,Human organization,2007,0.794,39,34
2008,Human organization,2008,0.56,39,37.5
2009,Human organization,2009,0.474,40,39
2010,Human organization,2010,0.544,39,39.5
2011,Human organization,2011,0.557,39,39.5
2012,Human organization,2012,0.487,37,39
2013,Human organization,2013,0.75,34,38
2014,Human organization,2014,0.437,36,35.5
2015,Human organization,2015,0.814,33,35
2016,Human organization,2016,1.304,33,34.5
2017,Human organization,2017,0.939,32,33
2018,Human organization,2018,0.585,31,32.5
2019,Human organization,2019,0.857,29,31.5
2020,Human organization,2020,0.833,30,30
2021,Human organization,2021,1.322,32,29.5
2022,Human organization,2022,0.8,35,31
2023,Human organization,2023,0.5,31,33.5
2024,Human organization,2024,0.6,44,33
2022,Hydrology,2022,3.2,221,140
2023,Hydrology,2023,3.1,232,203
2024,Hydrology,2024,3.2,218,226.5
2002,International journal of osteoarchaeology,2002,0.314,30,30
2003,International journal of osteoarchaeology,2003,0.41,43,31
2004,International journal of osteoarchaeology,2004,0.625,37,36.5
2005,International journal of osteoarchaeology,2005,0.9,39,40
2006,International journal of osteoarchaeology,2006,0.763,46,38
2007,International journal of osteoarchaeology,2007,0.306,50,42.5
2008,International journal of osteoarchaeology,2008,0.552,45,48
2009,International journal of osteoarchaeology,2009,0.663,51,47.5
2010,International journal of osteoarchaeology,2010,0.802,61,48
2011,International journal of osteoarchaeology,2011,0.955,68,56
2012,International journal of osteoarchaeology,2012,1.085,60,64.5
2013,International journal of osteoarchaeology,2013,1.07,65,64
2014,International journal of osteoarchaeology,2014,1.296,67,62.5
2015,International journal of osteoarchaeology,2015,1.212,89,66
2016,International journal of osteoarchaeology,2016,1.038,103,78
2017,International journal of osteoarchaeology,2017,1.432,91,96
2018,International journal of osteoarchaeology,2018,1.18,71,97
2019,International journal of osteoarchaeology,2019,1.228,106,81
2020,International journal of osteoarchaeology,2020,1.311,111,88.5
2021,International journal of osteoarchaeology,2021,1.361,122,108.5
2022,International journal of osteoarchaeology,2022,1,103,116.5
2023,International journal of osteoarchaeology,2023,1.1,75,112.5
2024,International journal of osteoarchaeology,2024,1,88,89
2000,Journal of comparative physiology b-biochemical systemic and environmental,2000,1.324,75,74
2001,Journal of comparative physiology b-biochemical systemic and environmental,2001,1.08,79,75
2002,Journal of comparative physiology b-biochemical systemic and environmental,2002,1.344,81,77
2005,Journal of comparative physiology b-biochemical systemic and environmental physiology,2005,1.539,58,76
2006,Journal of comparative physiology b-biochemical systemic and environmental physiology,2006,1.74,81,65.5
2007,Journal of comparative physiology b-biochemical systemic and environmental physiology,2007,2.029,88,69.5
2008,Journal of comparative physiology b-biochemical systemic and environmental physiology,2008,1.698,96,84.5
2009,Journal of comparative physiology b-biochemical systemic and environmental physiology,2009,1.897,94,92
2010,Journal of comparative physiology b-biochemical systemic and environmental physiology,2010,2.4,113,95
2011,Journal of comparative physiology b-biochemical systemic and environmental physiology,2011,1.966,97,103.5
2012,Journal of comparative physiology b-biochemical systemic and environmental physiology,2012,2.024,86,105
2013,Journal of comparative physiology b-biochemical systemic and environmental physiology,2013,2.53,90,91.5
2014,Journal of comparative physiology b-biochemical systemic and environmental physiology,2014,2.619,82,88
2015,Journal of comparative physiology b-biochemical systemic and environmental physiology,2015,1.884,70,86
2016,Journal of comparative physiology b-biochemical systemic and environmental physiology,2016,1.947,81,76
1999,Journal of environmental economics and management,1999,1.216,34,45.5
2000,Journal of environmental economics and management,2000,1.118,33,34
2001,Journal of environmental economics and management,2001,1.224,37,33.5
2002,Journal of environmental economics and management,2002,1.114,52,35
2003,Journal of environmental economics and management,2003,1.157,66,44.5
2004,Journal of environmental economics and management,2004,1.076,53,59
2005,Journal of environmental economics and management,2005,1.529,62,59.5
2006,Journal of environmental economics and management,2006,1.496,43,57.5
2007,Journal of environmental economics and management,2007,1.438,46,52.5
2008,Journal of environmental economics and management,2008,1.73,40,44.5
2009,Journal of environmental economics and management,2009,2.581,49,43
2010,Journal of environmental economics and management,2010,2.989,40,44.5
2011,Journal of environmental economics and management,2011,2.169,57,44.5
2012,Journal of environmental economics and management,2012,1.969,58,48.5
2013,Journal of environmental economics and management,2013,2.522,69,57.5
2014,Journal of environmental economics and management,2014,2.394,53,63.5
2015,Journal of environmental economics and management,2015,2.197,42,61
2016,Journal of environmental economics and management,2016,2.305,43,47.5
2017,Journal of environmental economics and management,2017,2.635,77,42.5
2018,Journal of environmental economics and management,2018,4.175,128,60
2019,Journal of environmental economics and management,2019,3.449,77,102.5
2020,Journal of environmental economics and management,2020,4.624,69,102.5
2021,Journal of environmental economics and management,2021,5.84,112,73
2022,Journal of environmental economics and management,2022,4.6,89,90.5
2023,Journal of environmental economics and management,2023,5.5,102,100.5
2024,Journal of environmental economics and management,2024,5.9,136,95.5
2022,Journal of field archaeology,2022,1.9,39,48
2023,Journal of field archaeology,2023,1.5,30,39
2024,Journal of field archaeology,2024,1.5,54,34.5
2018,Journal of geophysical research-oceans,2018,3.235,514,525
2019,Journal of geophysical research-oceans,2019,3.559,515,537
2020,Journal of geophysical research-oceans,2020,3.405,509,514.5
2021,Journal of geophysical research-oceans,2021,3.938,524,512
2022,Journal of geophysical research-oceans,2022,3.6,463,516.5
2023,Journal of geophysical research-oceans,2023,3.3,340,493.5
2024,Journal of geophysical research-oceans,2024,3.4,495,401.5
2019,Journal of comparative physiology b-biochemical systems and environmental physiology,2019,2.042,58,84
2020,Journal of comparative physiology b-biochemical systems and environmental physiology,2020,2.2,81,70
2021,Journal of comparative physiology b-biochemical systems and environmental physiology,2021,2.23,88,69.5
2022,Journal of comparative physiology b-biochemical systems and environmental physiology,2022,2,49,84.5
2023,Journal of comparative physiology b-biochemical systems and environmental physiology,2023,1.7,52,68.5
2024,Journal of comparative physiology b-biochemical systems and environmental physiology,2024,1.6,66,50.5
2012,Journal of travel research,2012,1.899,61,44.5
2013,Journal of travel research,2013,1.884,59,56
2014,Journal of travel research,2014,2.442,57,60
2015,Journal of travel research,2015,2.905,53,58
2016,Journal of travel research,2016,4.564,77,55
2017,Journal of travel research,2017,5.169,74,65
2018,Journal of travel research,2018,5.338,76,75.5
2019,Journal of travel research,2019,7.027,87,75
2020,Journal of travel research,2020,10.982,182,81.5
2021,Journal of travel research,2021,8.933,117,134.5
2022,Journal of travel research,2022,8.9,83,149.5
2023,Journal of travel research,2023,8,133,100
2024,Journal of travel research,2024,7,109,108
2023,Ornithological applications,2023,2.6,52,51.5
2024,Ornithological applications,2024,2.7,54,51
2023,Ornithology,2023,2.1,46,52.5
2024,Ornithology,2024,1.9,44,46
2022,Pacific historical review,2022,0.2,16,17
2023,Pacific historical review,2023,0.4,21,17
2024,Pacific historical review,2024,0.2,23,18.5
1999,Palaeogeography palaeoclimatology palaeoecology,1999,1.601,180,146.5
2000,Palaeogeography palaeoclimatology palaeoecology,2000,1.467,183,157.5
2001,Palaeogeography palaeoclimatology palaeoecology,2001,1.449,193,181.5
2002,Palaeogeography palaeoclimatology palaeoecology,2002,1.497,205,188
2003,Palaeogeography palaeoclimatology palaeoecology,2003,1.766,249,199
2004,Palaeogeography palaeoclimatology palaeoecology,2004,1.974,246,227
2005,Palaeogeography palaeoclimatology palaeoecology,2005,1.899,266,247.5
2006,Palaeogeography palaeoclimatology palaeoecology,2006,1.822,320,256
2007,Palaeogeography palaeoclimatology palaeoecology,2007,2.162,366,293
2008,Palaeogeography palaeoclimatology palaeoecology,2008,2.405,320,343
2009,Palaeogeography palaeoclimatology palaeoecology,2009,2.646,285,343
2010,Palaeogeography palaeoclimatology palaeoecology,2010,2.39,371,302.5
2011,Palaeogeography palaeoclimatology palaeoecology,2011,2.392,366,328
2012,Palaeogeography palaeoclimatology palaeoecology,2012,2.745,327,368.5
2013,Palaeogeography palaeoclimatology palaeoecology,2013,2.752,379,346.5
2014,Palaeogeography palaeoclimatology palaeoecology,2014,2.339,368,353
2015,Palaeogeography palaeoclimatology palaeoecology,2015,2.525,410,373.5
2016,Palaeogeography palaeoclimatology palaeoecology,2016,2.578,486,389
2017,Palaeogeography palaeoclimatology palaeoecology,2017,2.375,443,448
2018,Palaeogeography palaeoclimatology palaeoecology,2018,2.616,436,464.5
2019,Palaeogeography palaeoclimatology palaeoecology,2019,2.833,441,439.5
2020,Palaeogeography palaeoclimatology palaeoecology,2020,3.318,451,438.5
2021,Palaeogeography palaeoclimatology palaeoecology,2021,3.565,533,446
2022,Palaeogeography palaeoclimatology palaeoecology,2022,3,358,492
2023,Palaeogeography palaeoclimatology palaeoecology,2023,2.6,423,445.5
2024,Palaeogeography palaeoclimatology palaeoecology,2024,2.7,472,390.5
1999,Photogrammetric engineering and remote sensing,1999,1.006,101,79.5
2000,Photogrammetric engineering and remote sensing,2000,0.783,88,83
2001,Photogrammetric engineering and remote sensing,2001,0.841,88,94.5
2002,Photogrammetric engineering and remote sensing,2002,1.176,94,88
2003,Photogrammetric engineering and remote sensing,2003,0.857,14,91
2004,Photogrammetric engineering and remote sensing,2004,1.574,104,54
2005,Photogrammetric engineering and remote sensing,2005,1,107,59
2006,Photogrammetric engineering and remote sensing,2006,1.284,106,105.5
2007,Photogrammetric engineering and remote sensing,2007,1.103,102,106.5
2008,Photogrammetric engineering and remote sensing,2008,1.846,108,104
2009,Photogrammetric engineering and remote sensing,2009,1.11,96,105
2010,Photogrammetric engineering and remote sensing,2010,0.931,90,102
2011,Photogrammetric engineering and remote sensing,2011,1.048,82,93
2012,Photogrammetric engineering and remote sensing,2012,1.802,87,86
2013,Photogrammetric engineering and remote sensing,2013,2.071,79,84.5
2014,Photogrammetric engineering and remote sensing,2014,1.608,84,83
2015,Photogrammetric engineering and remote sensing,2015,1.288,62,81.5
2016,Photogrammetric engineering and remote sensing,2016,2.493,72,73
2017,Photogrammetric engineering and remote sensing,2017,3.15,56,67
2018,Photogrammetric engineering and remote sensing,2018,1.367,57,64
2019,Photogrammetric engineering and remote sensing,2019,1.265,64,56.5
2020,Photogrammetric engineering and remote sensing,2020,1.083,49,60.5
2021,Photogrammetric engineering and remote sensing,2021,1.469,68,56.5
2022,Photogrammetric engineering and remote sensing,2022,1.3,57,58.5
2023,Photogrammetric engineering and remote sensing,2023,1,58,62.5
2024,Photogrammetric engineering and remote sensing,2024,2,49,57.5
2001,Physiological and biochemical zoology,2001,1.802,94,81
2002,Physiological and biochemical zoology,2002,1.538,50,91
2003,Physiological and biochemical zoology,2003,1.542,70,72
2004,Physiological and biochemical zoology,2004,1.465,72,60
2005,Physiological and biochemical zoology,2005,2.145,96,71
2006,Physiological and biochemical zoology,2006,2.011,98,84
2007,Physiological and biochemical zoology,2007,2.227,56,97
2008,Physiological and biochemical zoology,2008,2.532,86,77
2009,Physiological and biochemical zoology,2009,2.19,74,71
2010,Physiological and biochemical zoology,2010,2.394,90,80
2011,Physiological and biochemical zoology,2011,2.201,57,82
2012,Physiological and biochemical zoology,2012,2.456,64,73.5
2013,Physiological and biochemical zoology,2013,2.05,69,60.5
2014,Physiological and biochemical zoology,2014,2.398,77,66.5
2015,Physiological and biochemical zoology,2015,2.007,57,73
2016,Physiological and biochemical zoology,2016,2.104,46,67
2017,Physiological and biochemical zoology,2017,2.291,64,51.5
2018,Physiological and biochemical zoology,2018,1.873,40,55
2019,Physiological and biochemical zoology,2019,2.25,53,52
2020,Physiological and biochemical zoology,2020,2.247,36,46.5
2021,Physiological and biochemical zoology,2021,2.322,31,44.5
2022,Physiological and biochemical zoology,2022,1.6,40,33.5
2023,Physiological and biochemical zoology,2023,1.8,40,35.5
2024,Physiological and biochemical zoology,2024,1.8,0,40
2000,Proceedings of the national academy of sciences of the united states of america,2000,10.789,2505,2662.5
2001,Proceedings of the national academy of sciences of the united states of america,2001,10.896,2579,2557
2002,Proceedings of the national academy of sciences of the united states of america,2002,10.7,2911,2542
2003,Proceedings of the national academy of sciences of the united states of america,2003,10.272,2725,2745
2004,Proceedings of the national academy of sciences of the united states of america,2004,10.452,3084,2818
2005,Proceedings of the national academy of sciences of the united states of america,2005,10.231,3200,2904.5
2006,Proceedings of the national academy of sciences of the united states of america,2006,9.643,3306,3142
2007,Proceedings of the national academy of sciences of the united states of america,2007,9.598,NA,3253
2010,Proceedings of the national academy of sciences of the united states of america,2010,9.771,3764,3636.5
2011,Proceedings of the national academy of sciences of the united states of america,2011,9.681,3614,3764.5
2012,Proceedings of the national academy of sciences of the united states of america,2012,9.737,NA,3689
2019,Proceedings of the national academy of sciences of the united states of america,2019,9.412,NA,3265
2023,Proceedings of the national academy of sciences of the united states of america,2023,9.4,NA,3147.5
2007,Proceedings of the royal society b-biological sciences,2007,4.112,403,378.5
2008,Proceedings of the royal society b-biological sciences,2008,4.248,347,406.5
2009,Proceedings of the royal society b-biological sciences,2009,4.857,524,375
2010,Proceedings of the royal society b-biological sciences,2010,5.064,452,435.5
2011,Proceedings of the royal society b-biological sciences,2011,5.415,466,488
2012,Proceedings of the royal society b-biological sciences,2012,5.683,624,459
2013,Proceedings of the royal society b-biological sciences,2013,5.292,513,545
2014,Proceedings of the royal society b-biological sciences,2014,5.051,625,568.5
2015,Proceedings of the royal society b-biological sciences,2015,4.823,599,569
2016,Proceedings of the royal society b-biological sciences,2016,4.94,542,612
2017,Proceedings of the royal society b-biological sciences,2017,4.847,563,570.5
2018,Proceedings of the royal society b-biological sciences,2018,4.304,540,552.5
2019,Proceedings of the royal society b-biological sciences,2019,4.638,577,551.5
2020,Proceedings of the royal society b-biological sciences,2020,5.349,594,558.5
2021,Proceedings of the royal society b-biological sciences,2021,5.531,590,585.5
2022,Proceedings of the royal society b-biological sciences,2022,4.7,520,592
2023,Proceedings of the royal society b-biological sciences,2023,3.8,540,555
2024,Proceedings of the royal society b-biological sciences,2024,3.5,543,530
1999,Progress in physical geography,1999,1.435,26,31
2000,Progress in physical geography,2000,0.93,32,28.5
2001,Progress in physical geography,2001,1.19,30,29
2002,Progress in physical geography,2002,1.048,26,31
2003,Progress in physical geography,2003,1.036,32,28
2004,Progress in physical geography,2004,0.845,24,29
2005,Progress in physical geography,2005,1.018,30,28
2006,Progress in physical geography,2006,1.278,39,27
2007,Progress in physical geography,2007,2.377,35,34.5
2008,Progress in physical geography,2008,3.014,29,37
2009,Progress in physical geography,2009,2.261,41,32
2010,Progress in physical geography,2010,2.28,34,35
2011,Progress in physical geography,2011,3.36,40,37.5
2012,Progress in physical geography,2012,3.419,38,37
2013,Progress in physical geography,2013,3.885,42,39
2014,Progress in physical geography,2014,2.612,39,40
2015,Progress in physical geography,2015,2.728,41,40.5
2016,Progress in physical geography,2016,3.375,38,40
2017,Progress in physical geography,2017,4.177,41,39.5
1999,Psychological reports,1999,0.266,382,454.5
2000,Psychological reports,2000,0.238,341,409
2001,Psychological reports,2001,0.277,319,361.5
2002,Psychological reports,2002,0.342,359,330
2003,Psychological reports,2003,0.277,395,339
2004,Psychological reports,2004,0.341,385,377
2005,Psychological reports,2005,0.281,280,390
2006,Psychological reports,2006,0.364,267,332.5
2007,Psychological reports,2007,0.353,309,273.5
2008,Psychological reports,2008,0.309,214,288
2009,Psychological reports,2009,0.346,205,261.5
2010,Psychological reports,2010,0.439,216,209.5
2011,Psychological reports,2011,0.439,176,210.5
2012,Psychological reports,2012,0.372,170,196
2013,Psychological reports,2013,0.402,148,173
2014,Psychological reports,2014,0.56,142,159
2015,Psychological reports,2015,0.414,138,145
2016,Psychological reports,2016,0.629,108,140
2017,Psychological reports,2017,0.667,65,123
2018,Psychological reports,2018,1.023,63,86.5
2019,Psychological reports,2019,1.535,128,64
2020,Psychological reports,2020,2.053,229,95.5
2021,Psychological reports,2021,1.789,173,178.5
2022,Psychological reports,2022,2.3,204,201
2023,Psychological reports,2023,1.7,223,188.5
2024,Psychological reports,2024,1.6,215,213.5
2020,Progress in physical geography-earth and environment,2020,3.795,70,43.5
2021,Progress in physical geography-earth and environment,2021,4.283,42,57
2022,Progress in physical geography-earth and environment,2022,3.9,50,56
2023,Progress in physical geography-earth and environment,2023,3,35,46
2024,Progress in physical geography-earth and environment,2024,3.6,30,42.5
1999,Relations industrielles-industrial relations,1999,0.169,27,29.5
2000,Relations industrielles-industrial relations,2000,0.382,24,27.5
2001,Relations industrielles-industrial relations,2001,0.196,26,25.5
2002,Relations industrielles-industrial relations,2002,0.54,24,25
2003,Relations industrielles-industrial relations,2003,0.46,18,25
2004,Relations industrielles-industrial relations,2004,0.229,18,21
2005,Relations industrielles-industrial relations,2005,0.5,18,18
2006,Relations industrielles-industrial relations,2006,0.367,12,18
2007,Relations industrielles-industrial relations,2007,0.429,24,15
2008,Relations industrielles-industrial relations,2008,0.312,27,18
2009,Relations industrielles-industrial relations,2009,0.216,29,25.5
2010,Relations industrielles-industrial relations,2010,0.25,28,28
2011,Relations industrielles-industrial relations,2011,0.333,25,28.5
2012,Relations industrielles-industrial relations,2012,0.434,28,26.5
2013,Relations industrielles-industrial relations,2013,0.358,27,26.5
2014,Relations industrielles-industrial relations,2014,0.218,24,27.5
2015,Relations industrielles-industrial relations,2015,0.224,23,25.5
2016,Relations industrielles-industrial relations,2016,0.246,28,23.5
2017,Relations industrielles-industrial relations,2017,0.431,30,25.5
2018,Relations industrielles-industrial relations,2018,0.466,29,29
2019,Relations industrielles-industrial relations,2019,0.441,30,29.5
2020,Relations industrielles-industrial relations,2020,0.169,32,29.5
2021,Relations industrielles-industrial relations,2021,0.468,30,31
2022,Relations industrielles-industrial relations,2022,0.4,22,31
2023,Relations industrielles-industrial relations,2023,0.4,7,26
2024,Relations industrielles-industrial relations,2024,0.6,14,14.5
2003,Renewable & sustainable energy reviews,2003,1.579,24,19
2004,Renewable & sustainable energy reviews,2004,1.614,30,22
2005,Renewable & sustainable energy reviews,2005,1.315,35,27
2006,Renewable & sustainable energy reviews,2006,1.754,27,32.5
2007,Renewable & sustainable energy reviews,2007,3.774,119,31
2008,Renewable & sustainable energy reviews,2008,4.075,128,73
2009,Renewable & sustainable energy reviews,2009,4.842,255,123.5
2010,Renewable & sustainable energy reviews,2010,4.595,305,191.5
2011,Renewable & sustainable energy reviews,2011,6.018,480,280
2012,Renewable & sustainable energy reviews,2012,5.627,584,392.5
2013,Renewable & sustainable energy reviews,2013,5.51,672,532
2014,Renewable & sustainable energy reviews,2014,5.901,835,628
2015,Renewable & sustainable energy reviews,2015,6.798,NA,753.5
2019,Renewable & sustainable energy reviews,2019,12.11,639,1271.5
2020,Renewable & sustainable energy reviews,2020,14.982,642,878.5
2021,Renewable & sustainable energy reviews,2021,16.799,1335,640.5
2022,Renewable & sustainable energy reviews,2022,15.9,987,988.5
2023,Renewable & sustainable energy reviews,2023,16.3,925,1161
2024,Renewable & sustainable energy reviews,2024,16.3,845,956
1999,Reviews in fish biology and fisheries,1999,4.444,8,13.5
2000,Reviews in fish biology and fisheries,2000,3.214,4,11
2001,Reviews in fish biology and fisheries,2001,2.379,6,6
2002,Reviews in fish biology and fisheries,2002,1.206,0,5
2003,Reviews in fish biology and fisheries,2003,1.386,5,3
2004,Reviews in fish biology and fisheries,2004,1.104,0,2.5
2005,Reviews in fish biology and fisheries,2005,0.867,8,2.5
2006,Reviews in fish biology and fisheries,2006,1.512,11,4
2007,Reviews in fish biology and fisheries,2007,2.531,42,9.5
2008,Reviews in fish biology and fisheries,2008,1.792,20,26.5
2009,Reviews in fish biology and fisheries,2009,2.161,26,31
2010,Reviews in fish biology and fisheries,2010,3.609,40,23
2011,Reviews in fish biology and fisheries,2011,2.5,49,33
2012,Reviews in fish biology and fisheries,2012,2.27,52,44.5
2013,Reviews in fish biology and fisheries,2013,2.564,32,50.5
2014,Reviews in fish biology and fisheries,2014,2.726,49,42
2015,Reviews in fish biology and fisheries,2015,3.222,38,40.5
2016,Reviews in fish biology and fisheries,2016,3.575,39,43.5
2017,Reviews in fish biology and fisheries,2017,3.299,40,38.5
2018,Reviews in fish biology and fisheries,2018,3.506,47,39.5
2019,Reviews in fish biology and fisheries,2019,4.402,46,43.5
2020,Reviews in fish biology and fisheries,2020,4.43,38,46.5
2021,Reviews in fish biology and fisheries,2021,6.845,62,42
2022,Reviews in fish biology and fisheries,2022,6.2,53,50
2023,Reviews in fish biology and fisheries,2023,5.9,73,57.5
2024,Reviews in fish biology and fisheries,2024,4.6,71,63
1999,Revista de biologia tropical,1999,0.121,90,21.5
2000,Revista de biologia tropical,2000,0.112,72,66.5
2001,Revista de biologia tropical,2001,0.097,109,81
2002,Revista de biologia tropical,2002,0.107,67,90.5
2003,Revista de biologia tropical,2003,0.354,127,88
2004,Revista de biologia tropical,2004,0.22,57,97
2005,Revista de biologia tropical,2005,0.322,56,92
2006,Revista de biologia tropical,2006,0.217,22,56.5
2007,Revista de biologia tropical,2007,0.274,112,39
2008,Revista de biologia tropical,2008,0.199,73,67
2009,Revista de biologia tropical,2009,0.329,103,92.5
2010,Revista de biologia tropical,2010,0.435,138,88
2011,Revista de biologia tropical,2011,0.459,154,120.5
2012,Revista de biologia tropical,2012,0.553,112,146
2013,Revista de biologia tropical,2013,0.61,156,133
2014,Revista de biologia tropical,2014,0.524,129,134
2015,Revista de biologia tropical,2015,0.441,68,142.5
2016,Revista de biologia tropical,2016,0.495,152,98.5
2017,Revista de biologia tropical,2017,0.511,151,110
2018,Revista de biologia tropical,2018,0.581,152,151.5
2019,Revista de biologia tropical,2019,0.446,105,151.5
2020,Revista de biologia tropical,2020,0.723,144,128.5
2021,Revista de biologia tropical,2021,0.803,140,124.5
2022,Revista de biologia tropical,2022,0.6,43,142
2023,Revista de biologia tropical,2023,0.8,94,91.5
2024,Revista de biologia tropical,2024,0.6,85,68.5
2022,Recherche en soins infirmiers,2022,0.3,20,28.5
2023,Recherche en soins infirmiers,2023,0.2,16,22.5
2024,Recherche en soins infirmiers,2024,0.2,15,18
2009,Revue de geographie alpine-journal of alpine research,2009,0,0,19.5
2013,Revue de geographie alpine-journal of alpine research,2013,0.231,0,8
2014,Revue de geographie alpine-journal of alpine research,2014,0.121,11,0
2015,Revue de geographie alpine-journal of alpine research,2015,0.086,15,5.5
2016,Revue de geographie alpine-journal of alpine research,2016,0.365,32,13
2017,Revue de geographie alpine-journal of alpine research,2017,0.433,25,23.5
2018,Revue de geographie alpine-journal of alpine research,2018,0.125,33,28.5
2019,Revue de geographie alpine-journal of alpine research,2019,0.224,17,29
2020,Revue de geographie alpine-journal of alpine research,2020,0.237,25,25
2021,Revue de geographie alpine-journal of alpine research,2021,0.431,45,21
2022,Revue de geographie alpine-journal of alpine research,2022,0.4,25,35
2023,Revue de geographie alpine-journal of alpine research,2023,0.2,24,35
2024,Revue de geographie alpine-journal of alpine research,2024,0.3,21,24.5
1999,Science of the total environment,1999,1.126,397,318
2000,Science of the total environment,2000,1.252,379,366.5
2001,Science of the total environment,2001,1.396,368,388
2002,Science of the total environment,2002,1.537,355,373.5
2003,Science of the total environment,2003,1.455,338,361.5
2004,Science of the total environment,2004,1.925,375,346.5
2005,Science of the total environment,2005,2.224,368,356.5
2006,Science of the total environment,2006,2.359,710,371.5
2007,Science of the total environment,2007,2.182,564,539
2008,Science of the total environment,2008,2.579,673,637
2009,Science of the total environment,2009,2.905,648,618.5
2010,Science of the total environment,2010,3.19,697,660.5
2011,Science of the total environment,2011,3.286,648,672.5
2012,Science of the total environment,2012,3.258,992,672.5
2013,Science of the total environment,2013,3.163,932,820
2014,Science of the total environment,2014,4.099,NA,962
2019,Science of the total environment,2019,6.551,NA,3481.5
1999,Society & natural resources,1999,0.782,45,43.5
2000,Society & natural resources,2000,0.526,46,47.5
2001,Society & natural resources,2001,0.846,57,45.5
2002,Society & natural resources,2002,0.553,57,51.5
2003,Society & natural resources,2003,0.842,54,57
2004,Society & natural resources,2004,0.82,55,55.5
2005,Society & natural resources,2005,1.339,55,54.5
2006,Society & natural resources,2006,1.064,58,55
2007,Society & natural resources,2007,1.053,62,56.5
2008,Society & natural resources,2008,1.167,67,60
2009,Society & natural resources,2009,1.016,61,64.5
2010,Society & natural resources,2010,1.117,83,64
2011,Society & natural resources,2011,1.09,94,72
